code,R,F,M,Àà±ð
657,170,1,34,7
658,133,1,33,7
659,170,1,65,7
660,170,1,64,7
661,73,1,87,1
662,76,1,37,1
663,60,1,144,4
664,72,1,31,1
665,8,1,162,4
666,159,1,193,0
667,14,1,177,4
668,133,1,34,7
669,33,1,94,1
670,167,1,55,7
671,95,1,83,3
672,170,1,163,3
673,71,2,120,2
674,106,1,248,0
675,142,1,149,3
676,5,1,87,1
677,158,1,253,0
678,11,1,187,4
679,145,1,137,3
680,133,1,87,7
681,37,1,94,1
682,8,1,34,1
683,170,1,169,3
684,170,1,69,7
685,180,1,192,0
686,162,1,132,3
687,140,1,123,3
688,8,1,63,1
689,13,1,243,4
690,102,1,119,3
691,133,1,32,7
692,170,1,246,0
693,131,1,87,7
694,37,1,34,1
695,0,1,170,4
696,170,1,219,0
697,8,1,193,4
698,24,1,222,4
699,170,1,73,7
700,133,1,145,3
701,73,1,181,4
702,163,1,149,3
703,170,1,245,0
704,73,1,89,1
705,133,1,48,7
706,149,1,49,7
707,45,1,90,1
708,41,1,149,4
709,73,1,87,1
710,19,1,123,1
711,83,1,185,4
712,14,1,31,1
713,73,1,77,1
714,170,1,178,0
715,150,1,169,3
716,131,1,87,7
717,164,1,176,3
718,165,1,31,7
719,114,1,255,0
720,36,2,97.5,2
721,35,1,111,1
722,154,1,31,7
723,102,1,94,3
724,118,1,223,0
725,93,1,144,3
726,132,1,99,3
727,9,1,59,1
728,116,1,144,3
729,34,1,94,1
730,37,1,129,1
731,133,1,87,7
732,6,1,156,4
733,19,1,34,1
734,170,1,79,7
735,6,1,49,1
736,87,1,40,1
737,156,1,225,0
738,11,1,31,1
739,53,1,225,4
740,170,1,79,7
741,13,1,144,4
742,170,1,79,7
743,102,2,119,2
744,51,1,49,1
745,145,1,122,3
746,9,1,70,1
747,73,1,270,4
748,142,1,36,7
749,156,1,79,7
750,53,1,30,1
751,153,1,264,0
752,32,1,73,1
753,126,1,149,3
754,148,1,266,0
755,108,1,152,3
756,17,2,133,2
757,14,1,82,1
758,11,1,149,4
759,14,1,30,1
760,100,1,33,7
761,170,1,253,0
762,12,1,216,4
763,99,1,155,3
764,170,1,84,7
765,133,1,98,7
766,66,1,200,4
767,37,1,94,1
768,165,1,63,7
769,166,1,74,7
770,73,1,87,1
771,92,1,49,1
772,5,1,40,1
773,57,1,220,4
774,122,1,94,3
775,132,1,33,7
776,14,1,72,1
777,73,1,270,4
778,156,1,129,3
779,170,1,168,3
780,3,1,40,1
781,23,1,34,1
782,149,1,190,0
783,68,1,94,1
784,170,1,108,7
785,150,1,49,7
786,53,1,104,1
787,154,1,67,7
788,9,1,192,4
789,172,1,160,3
790,9,1,227,4
791,176,1,146,3
792,6,1,169,4
793,24,1,136,1
794,53,1,89,1
795,3,1,42,1
796,8,2,44.5,2
797,53,1,89,1
798,80,2,121.5,2
799,73,1,261,4
800,73,1,35,1
801,170,1,130,3
802,163,1,31,7
803,166,2,64.5,2
804,163,1,126,3
805,14,2,89.5,2
806,167,1,124,3
807,71,1,87,1
808,73,1,87,1
809,118,1,182,3
810,19,1,34,1
811,19,1,228,4
812,128,1,239,0
813,32,1,255,4
814,168,1,34,7
815,6,1,40,1
816,159,1,132,3
817,160,1,128,3
818,133,1,251,0
819,133,1,87,7
820,163,1,33,7
821,170,1,63,7
822,164,1,269,0
823,128,1,94,7
824,165,1,213,0
825,91,1,139,3
826,0,1,31,1
827,84,1,38,1
828,45,2,197,2
829,112,2,137,2
830,165,1,82,7
831,152,1,82,7
832,170,1,79,7
833,5,1,172,4
834,19,1,94,1
835,130,1,177,3
836,9,1,418,4
837,170,1,254,0
838,170,1,150,3
839,132,2,178,2
840,155,1,79,7
841,48,1,313,4
842,170,1,64,7
843,122,1,143,3
844,73,2,136,2
845,46,1,146,4
846,28,1,173,4
847,7,1,47,1
848,162,1,37,7
849,148,1,73,7
850,133,1,56,7
851,122,1,94,3
852,121,1,111,3
853,14,1,82,1
854,8,2,220.5,2
855,24,2,74,2
856,1,1,173,4
857,117,1,144,3
858,170,1,94,7
859,73,1,139,3
860,155,1,234,0
861,101,1,156,3
862,46,1,49,1
863,170,1,227,0
864,165,1,72,7
865,14,1,74,1
866,7,1,37,1
867,31,1,144,4
868,128,1,223,0
869,133,1,63,7
870,24,1,108,1
871,155,1,142,3
872,156,1,183,0
873,170,1,75,7
874,14,1,87,1
875,84,1,37,1
876,151,1,79,7
877,100,1,193,3
878,170,1,83,7
879,10,1,40,1
880,11,2,56.5,2
881,80,1,46,1
882,140,1,49,7
883,170,1,37,7
884,133,1,271,0
885,170,1,84,7
886,162,1,49,7
887,133,2,101,2
888,153,1,250,0
889,170,1,63,7
890,133,1,89,7
891,7,1,273,4
892,170,1,105,7
893,170,1,37,7
894,170,1,183,0
895,133,1,44,7
896,150,1,235,0
897,37,1,213,4
898,170,1,223,0
899,143,1,49,7
900,108,1,144,3
901,6,1,44,1
902,73,1,89,1
903,128,1,31,7
904,14,1,74,1
905,73,1,202,4
906,164,1,30,7
907,10,1,39,1
908,78,1,162,4
909,167,1,217,0
910,24,1,137,4
911,51,1,56,1
912,92,1,32,1
913,72,1,154,4
914,50,1,170,4
915,95,1,150,3
916,165,1,119,3
917,156,1,53,7
918,170,1,100,7
919,49,1,73,1
920,151,1,74,7
921,133,1,95,7
922,34,1,34,1
923,133,1,44,7
924,134,1,49,7
925,133,1,117,3
926,170,1,82,7
927,170,1,79,7
928,151,1,79,7
929,99,1,40,7
930,4,2,97.5,2
931,159,1,49,7
932,24,1,167,4
933,43,1,130,1
934,146,1,235,0
935,133,1,35,7
936,7,1,232,4
937,14,1,221,4
938,40,1,38,1
939,170,1,147,3
940,101,2,248,2
941,101,1,143,3
942,31,1,223,4
943,12,1,40,1
944,4,1,40,1
945,13,2,93,2
946,43,1,225,4
947,18,1,240,4
948,27,1,227,4
949,133,2,80.5,2
950,34,1,34,1
951,8,1,205,4
952,33,1,212,4
953,13,1,149,4
954,132,1,143,3
955,133,1,99,3
956,11,2,180,2
957,170,1,79,7
958,161,1,163,3
959,35,1,94,1
960,133,1,245,0
961,173,1,258,0
962,133,1,33,7
963,168,1,223,0
964,133,1,241,0
965,170,1,205,0
966,168,1,64,7
967,55,1,149,4
968,136,1,49,7
969,144,1,174,3
970,73,1,236,4
